job_id,logic,name,acronym,cvc5_count,cvc5_results,cvc5_mean,cvc5_min,cvc5_q1,cvc5_median,cvc5_q3,cvc5_max,elaboration_count,elaboration_results,elaboration_mean,elaboration_min,elaboration_q1,elaboration_median,elaboration_q3,elaboration_max,translate_small_count,translate_small_results,translate_small_mean,translate_small_min,translate_small_q1,translate_small_median,translate_small_q3,translate_small_max,translate_large_count,translate_large_results,translate_large_mean,translate_large_min,translate_large_q1,translate_large_median,translate_large_q3,translate_large_max,lambdapi_small_check_count,lambdapi_small_check_results,lambdapi_small_check_mean,lambdapi_small_check_min,lambdapi_small_check_q1,lambdapi_small_check_median,lambdapi_small_check_q3,lambdapi_small_check_max,lambdapi_large_check_count,lambdapi_large_check_results,lambdapi_large_check_mean,lambdapi_large_check_min,lambdapi_large_check_q1,lambdapi_large_check_median,lambdapi_large_check_q3,lambdapi_large_check_max,weighted_mean_time,min_lp,q1_lp,median_lp,q3_lp,max_lp
f0123a48-51cd-417c-9586-52b90040741e,QF\_LIA,tightrhombus,TIG,22,6 - 0 - 16,0.535,0.062,0.069,0.443,5.37,5.4,6,6 - 0 - 0,1.815,0.055,0.055,0.433,4.933,5.006,2,0 - 2 - 0,0.034,0.032,0.031,0.034,0.037,0.036,4,0 - 4 - 0,1.233,0.219,0.219,1.223,2.258,2.269,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8618a8bf-1ea8-4a20-8d6d-2befdfc2d801,QF\_LIA,wisa,WIS,2,1 - 0 - 1,1.071,2.143,2.143,2.143,2.143,2.143,2,1 - 1 - 0,1.494,0.052,0.052,1.494,2.936,2.936,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0 - 1 - 0,26.516,26.516,26.516,26.516,26.516,26.516,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d332e300-6eaa-400e-9f7c-3df778371b60,QF\_UF,20170829-Rodin,ROD,20,20,0.024,0.018,0.02,0.023,0.029,0.033,20,20,0.008,0.005,0.007,0.009,0.009,0.013,20,20,0.009,0.005,0.006,0.009,0.011,0.013,0,0,0.0,0.0,0.0,0.0,0.0,0.0,20,16 - 4 - 0,1.177,0.161,1.239,1.294,1.36,2.109,0,0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,89.0,92.0,94.0,114.0,155.0
911074cd-05d6-4c0a-8c5d-a0ef00a79ac4,QF\_UF,2018-Goel-hwbench,GOE,229,222 - 0 - 7,1.275,0.017,0.024,0.035,0.131,25.676,229,221 - 8 - 0,0.623,0.004,0.009,0.013,0.047,19.106,192,189 - 3 - 0,0.041,0.006,0.011,0.016,0.049,0.341,29,5 - 19 - 5,6.074,0.117,0.179,3.913,13.992,34.046,189,167 - 22 - 0,2.602,0.176,1.941,2.025,2.982,9.967,7,2 - 4 - 1,4.268,0.091,0.328,1.449,10.989,17.746,219.0,5.0,145.0,155.0,240.0,5888.0
ebdb2503-b441-4ebf-936f-633e81f1b76a,QF\_UF,20190906-CLEARSY,CLE,11,11 - 0 - 0,0.088,0.025,0.028,0.031,0.108,0.415,11,11 - 0 - 0,0.025,0.006,0.006,0.009,0.032,0.111,10,10,0.085,0.006,0.009,0.009,0.054,0.669,1,1 - 0 - 0,2.304,2.304,2.304,2.304,2.304,2.304,10,0 - 10 - 0,0.174,0.163,0.171,0.173,0.177,0.191,1,0 - 1 - 0,0.177,0.177,0.177,0.177,0.177,0.177,0.0,0.0,0.0,0.0,0.0,0.0
120c6722-3000-440a-b957-5ca1835fb6d7,QF\_UF,NEQ,NEQ,48,37 - 0 - 11,2.971,0.171,0.519,1.584,5.068,26.141,44,35 - 8 - 1,5.95,0.016,0.369,2.229,8.539,38.407,3,3 - 0 - 0,2.455,2.228,2.228,2.324,2.813,2.813,32,19 - 0 - 13,9.898,2.388,4.475,8.712,33.283,47.235,3,0 - 0 - 3,0.0,0.0,0.0,0.0,0.0,0.0,25,0 - 5 - 20,0.377,1.194,1.24,1.544,2.697,3.545,0.0,0.0,0.0,0.0,0.0,0.0
c3d39abc-166e-48ba-ab14-af7b3a6bab7c,QF\_UF,PEQ,PEQ,47,24 - 0 - 23,2.984,0.139,0.76,2.419,8.001,27.45,32,24 - 8 - 0,7.229,0.015,0.123,2.049,10.34,48.223,0,0,0.0,0.0,0.0,0.0,0.0,0.0,24,14 - 0 - 10,11.956,1.486,3.599,20.892,35.825,54.917,0,0,0.0,0.0,0.0,0.0,0.0,0.0,16,0 - 2 - 14,0.597,0.95,-0.962,4.774,10.51,8.598,0.0,0.0,0.0,0.0,0.0,0.0
a492986f-9ff8-41c7-98d6-ba0efda0b66c,QF\_UF,QG-classification,QGC,3859,3801 - 0 - 58,2.074,0.026,0.437,0.886,2.885,30.625,3851,3717 - 134 - 0,3.14,0.009,0.638,1.315,4.098,45.943,37,37 - 0 - 0,0.348,0.01,0.208,0.367,0.486,0.618,3680,1840 - 258 - 1582,11.312,0.069,6.31,15.429,29.941,70.363,37,30 - 0 - 7,18.526,1.531,14.959,24.09,31.619,39.664,1018,2 - 102 - 914,2.694,2.078,7.973,15.184,30.012,171.522,2516.0,111.0,1169.0,1946.0,2539.0,56941.0
d4e9f300-64c6-4367-90c5-efc536658e76,QF\_UF,SEQ,SEQ,44,34 - 0 - 10,3.091,0.035,0.118,0.639,2.616,27.415,39,34 - 5 - 0,5.649,0.009,0.046,0.476,2.681,49.033,10,10,1.368,0.14,0.189,0.23,2.274,5.934,24,16 - 0 - 8,10.036,1.774,3.389,9.488,29.703,38.889,10,4 - 0 - 6,18.216,24.37,30.844,51.869,53.904,54.049,19,0 - 3 - 16,0.885,0.753,0.753,5.417,10.638,10.638,3495.0,1865.0,2364.0,3982.0,4141.0,4153.0
ae438ed3-57ba-4792-ad58-893b560270ad,QF\_UF,TypeSafe,TYP,3,3 - 0 - 0,0.025,0.021,0.021,0.026,0.029,0.029,3,3 - 0 - 0,0.008,0.006,0.006,0.008,0.01,0.01,3,3 - 0 - 0,0.008,0.007,0.007,0.008,0.009,0.009,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3,3 - 0 - 0,1.321,1.301,1.301,1.326,1.335,1.335,0,0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,93.0,93.0,97.0,98.0,98.0
0ebfe7bc-2319-4645-977a-de754b5177c8,QF\_UF,eq\_diamond,EQD,100,100,0.155,0.019,0.042,0.072,0.147,0.892,100,100,0.282,0.007,0.03,0.062,0.17,2.338,66,66 - 0 - 0,0.275,0.006,0.073,0.226,0.398,0.814,34,34 - 0 - 0,5.051,0.726,0.944,4.38,8.216,15.955,66,15 - 0 - 51,2.239,1.311,2.919,4.983,11.761,46.25,34,0 - 0 - 34,0.0,0.0,0.0,0.0,0.0,0.0,749.0,94.0,216.0,374.0,890.0,3544.0
944f51dd-b998-480c-842e-7bc4bd1698fb,UF,20170428-Barrett,BAR,1585,1512 - 0 - 73,0.22,0.023,0.066,0.085,0.109,23.991,1513,1491 - 22 - 0,0.054,0.005,0.016,0.02,0.026,8.064,1419,1419 - 0 - 0,0.037,0.007,0.017,0.023,0.033,0.447,72,69 - 0 - 3,5.111,0.305,0.6,0.928,2.641,51.006,1419,1284 - 121 - 14,4.341,0.191,2.5,2.934,4.114,57.271,69,24 - 10 - 35,9.587,1.283,9.351,14.666,25.568,61.059,389.0,125.0,190.0,227.0,329.0,20323.0
45b03c06-ca13-4edb-ac52-5550123f0541,UF,20190906-CLEARSY,CLE,16,8 - 8 - 0,0.034,0.019,0.026,0.032,0.045,0.052,16,8 - 8 - 0,0.016,0.007,0.009,0.015,0.019,0.036,8,8 - 0 - 0,0.033,0.021,0.022,0.03,0.038,0.065,0,0,0.0,0.0,0.0,0.0,0.0,0.0,8,0 - 8 - 0,0.163,0.157,0.158,0.162,0.167,0.176,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06182ded-b2ab-4a0f-af71-164a505e066b,UF,grasshopper,GRA,376,361 - 0 - 15,0.516,0.02,0.039,0.053,0.118,22.157,361,351 - 10 - 0,0.059,0.007,0.014,0.023,0.045,2.921,301,301 - 0 - 0,0.068,0.008,0.023,0.039,0.083,0.341,50,50,2.589,0.276,0.503,0.859,1.86,57.303,301,18 - 283 - 0,0.451,0.181,0.213,0.251,0.292,11.0,50,0 - 34 - 16,2.996,0.625,1.111,1.866,4.107,34.273,225.0,102.0,114.0,143.0,302.0,837.0
25185d6f-67b0-48ae-a71a-c3547f0e1f31,UF,misc,MSC,14,14 - 0 - 0,0.036,0.026,0.03,0.036,0.04,0.049,14,14 - 0 - 0,0.021,0.007,0.012,0.018,0.026,0.069,14,14 - 0 - 0,0.061,0.006,0.016,0.03,0.049,0.409,0,0,0.0,0.0,0.0,0.0,0.0,0.0,14,0 - 13 - 1,0.152,0.153,0.158,0.164,0.167,0.187,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9f407a53-907c-4f3b-bc7a-c6514889d299,UF,sledgehammer,SLH,1403,1269 - 0 - 134,0.378,0.021,0.065,0.117,0.207,28.194,1274,1206 - 68 - 0,0.139,0.003,0.019,0.028,0.045,59.134,1106,1099 - 7 - 0,0.086,0.008,0.023,0.042,0.105,0.615,100,87 - 9 - 4,5.694,0.187,0.968,1.661,4.595,56.151,1099,959 - 117 - 23,7.177,0.24,2.428,4.12,8.249,59.524,87,36 - 22 - 29,13.835,0.963,7.659,12.014,36.189,61.636,684.0,113.0,208.0,355.0,759.0,20511.0
51f5af1b-b38d-4940-83af-8b811c43c8bc,UFLIA,RicartAgrawala,RIC,1,1 - 0 - 0,0.986,0.986,0.986,0.986,0.986,0.986,1,1 - 0 - 0,2.663,2.663,2.663,2.663,2.663,2.663,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1 - 0 - 0,35.815,35.815,35.815,35.815,35.815,35.815,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0 - 1 - 0,57.822,57.822,57.822,57.822,57.822,57.822,0.0,0.0,0.0,0.0,0.0,0.0
2f270646-e45d-425c-8c7a-4772319fd543,UFLIA,boogie,BOG,877,874 - 0 - 3,1.05,0.022,0.134,0.57,1.135,21.34,874,853 - 21 - 0,1.453,0.006,0.041,0.76,1.434,48.967,239,239 - 0 - 0,0.17,0.007,0.04,0.09,0.26,0.917,614,387 - 3 - 224,16.406,0.717,6.711,30.038,40.463,60.847,239,0 - 239 - 0,0.174,0.156,0.169,0.174,0.18,0.196,404,2 - 402 - 0,0.277,0.081,0.182,0.269,0.342,0.813,9.0,8.0,8.0,9.0,10.0,10.0
3326d4a4-e964-494f-8160-348202a12330,UFLIA,grasshopper,GRA,382,330 - 0 - 52,0.712,0.025,0.051,0.075,0.277,26.588,330,325 - 5 - 0,0.08,0.006,0.017,0.028,0.066,2.317,247,247 - 0 - 0,0.075,0.011,0.027,0.052,0.093,0.362,78,78 - 0 - 0,2.066,0.276,0.507,0.922,2.197,26.532,247,14 - 233 - 0,0.404,0.182,0.219,0.26,0.292,5.713,78,0 - 60 - 18,2.405,0.62,1.134,1.726,2.334,40.3,173.0,115.0,135.0,166.0,212.0,243.0
781a83c0-0b86-4bda-802b-7867ad542d18,UFLIA,misc,MSC,3,3 - 0 - 0,2.562,0.032,0.032,0.45,7.203,7.203,3,2 - 1 - 0,4.957,0.021,0.021,1.057,13.792,13.792,1,1 - 0 - 0,0.024,0.024,0.024,0.024,0.024,0.024,1,1 - 0 - 0,15.144,15.144,15.144,15.144,15.144,15.144,1,1 - 0 - 0,6.555,6.555,6.555,6.555,6.555,6.555,1,0 - 1 - 0,20.245,20.245,20.245,20.245,20.245,20.245,496.0,496.0,496.0,496.0,496.0,496.0
ce0f6b8f-b5c8-45bd-bb5d-816a954c9e83,UFLIA,psyco,PSY,2,2 - 0 - 0,0.025,0.023,0.022,0.025,0.028,0.027,2,0 - 2 - 0,0.006,0.006,0.006,0.006,0.006,0.006,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85a5dcf5-73e3-4334-b1e7-2db941644f78,UFLIA,sexpr,SXP,32,17 - 0 - 15,4.44,0.118,3.469,7.057,13.303,23.456,21,17 - 4 - 0,2.287,0.022,0.281,2.332,3.261,6.098,1,1 - 0 - 0,0.276,0.276,0.276,0.276,0.276,0.276,16,3 - 12 - 1,16.836,4.332,8.317,11.233,27.88,51.585,1,0 - 1 - 0,0.164,0.164,0.164,0.164,0.164,0.164,3,0 - 3 - 0,0.115,0.112,0.112,0.115,0.118,0.118,0.0,0.0,0.0,0.0,0.0,0.0
44a4ddcf-268e-46ad-9fbf-e5c60c29ca98,UFLIA,simplify,SIM,831,797 - 0 - 34,0.839,0.053,0.184,0.455,0.828,28.313,797,797 - 0 - 0,0.36,0.019,0.121,0.205,0.428,9.124,116,116 - 0 - 0,0.192,0.023,0.119,0.199,0.247,0.438,681,662 - 0 - 19,9.562,0.424,3.255,5.676,11.417,60.75,116,103 - 7 - 6,17.413,0.423,12.339,16.696,21.182,58.434,486,0 - 486 - 0,0.147,0.095,0.119,0.134,0.157,0.346,1491.0,231.0,999.0,1355.0,1675.0,4466.0
a6b43d97-6fb8-4a3a-a0e7-cfa50445ccba,UFLIA,simplify2,SI2,2338,2326 - 0 - 12,0.876,0.024,0.104,0.243,0.733,30.367,2331,2325 - 5 - 1,0.512,0.008,0.039,0.092,0.381,59.224,1037,1037 - 0 - 0,0.116,0.008,0.021,0.076,0.203,0.378,1289,1142 - 1 - 146,12.112,0.319,2.621,6.646,21.594,60.108,1037,0 - 1037 - 0,0.173,0.145,0.167,0.171,0.177,0.197,901,0 - 901 - 0,0.17,0.084,0.124,0.139,0.173,0.642,0.0,0.0,0.0,0.0,0.0,0.0
cafba2b6-d2bf-47cf-8823-b020eccfb235,UFLIA,sledgehammer,SLH,1521,1351 - 0 - 170,0.489,0.018,0.052,0.107,0.203,30.36,1352,1279 - 72 - 1,0.086,0.004,0.016,0.025,0.047,4.083,1133,1081 - 52 - 0,0.082,0.007,0.019,0.034,0.086,0.717,146,121 - 21 - 4,4.178,0.093,0.757,1.587,4.272,56.7,1081,897 - 170 - 14,6.326,0.18,2.299,3.755,6.758,57.45,121,27 - 63 - 31,15.864,0.828,2.465,13.957,35.466,63.999,665.0,114.0,216.0,348.0,641.0,21301.0
d0355180-9d91-40c6-b9c6-d898a0678f0a,UFLIA,spec\_sharp,SPS,3,3 - 0 - 0,0.201,0.037,0.037,0.065,0.5,0.5,3,3 - 0 - 0,0.279,0.013,0.013,0.05,0.773,0.773,2,2 - 0 - 0,0.17,0.046,-0.016,0.17,0.356,0.294,1,1 - 0 - 0,26.068,26.068,26.068,26.068,26.068,26.068,2,0 - 2 - 0,0.447,0.339,0.285,0.447,0.609,0.555,1,0 - 1 - 0,0.139,0.139,0.139,0.139,0.139,0.139,0.0,0.0,0.0,0.0,0.0,0.0
028642d5-0576-4470-84c1-66790f9e5be8,UFLIA,tokeneer,TOK,1732,1732 - 0 - 0,0.035,0.019,0.026,0.03,0.037,0.361,1732,1689 - 43 - 0,0.019,0.004,0.011,0.013,0.016,0.678,1664,1662 - 2 - 0,0.021,0.006,0.013,0.016,0.021,0.272,25,25 - 0 - 0,1.5,0.19,0.653,1.253,2.415,3.621,1662,0 - 1662 - 0,0.172,0.145,0.167,0.171,0.177,0.2,25,0 - 25 - 0,0.192,0.176,0.188,0.19,0.197,0.216,0.0,0.0,0.0,0.0,0.0,0.0
8aa5951e-ec12-4cf4-aa96-eda43790fbe5,UFLIA,tptp,TPT,10,10,0.083,0.023,0.026,0.032,0.074,0.414,10,0 - 10 - 0,0.007,0.005,0.006,0.008,0.009,0.01,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
