job_id,benchmark_type,name,cvc5_count,cvc5_results,cvc5_mean,cvc5_min,cvc5_q1,cvc5_median,cvc5_q3,cvc5_max,elaboration_count,elaboration_results,elaboration_mean,elaboration_min,elaboration_q1,elaboration_median,elaboration_q3,elaboration_max,translate_small_count,translate_small_results,translate_small_mean,translate_small_min,translate_small_q1,translate_small_median,translate_small_q3,translate_small_max,translate_large_count,translate_large_results,translate_large_mean,translate_large_min,translate_large_q1,translate_large_median,translate_large_q3,translate_large_max,lambdapi_small_check_count,lambdapi_small_check_results,lambdapi_large_check_count,lambdapi_large_check_results,weighted_mean_time,min_lp,q1_lp,median_lp,q3_lp,max_lp
d30ecf5c-785f-42cc-aef6-794d59e5f9dd,LIA,UltimateAutomizer,153,153 - 0 - 0,36.0,2,23,36.0,46.0,109.0,153,146 - 7 - 0,26.0,6,1,2,34.0,175.0,141,90 - 51 - 0,29.0,9.0,14.0,19.0,29.0,111.0,5,0 - 5 - 0,89,51,53.0,103.0,118.0,121.0,90,71 - 19 - 0,0,0 - 0 - 0,238,128,176,188,268,1049
3326d4a4-e964-494f-8160-348202a12330,UFLIA,grasshopper,382,330 - 0 - 52,712.0,25,51,75.0,277.0,27.0,330,325 - 5 - 0,8.0,6,17,28,66.0,2.0,247,247 - 0 - 0,75.0,11.0,27.0,52.0,93.0,362.0,78,78 - 0 - 0,2,276,507.0,922.0,2.0,27.0,247,14 - 233 - 0,78,0 - 60 - 18,173,115,135,166,212,243
781a83c0-0b86-4bda-802b-7867ad542d18,UFLIA,misc,3,3 - 0 - 0,3.0,32,32,0.45,7.0,7.0,3,2 - 1 - 0,5.0,21,21,1,14.0,14.0,1,1 - 0 - 0,24.0,24.0,24.0,24.0,24.0,24.0,1,1 - 0 - 0,15,15,15.0,15.0,15.0,15.0,1,1 - 0 - 0,1,0 - 1 - 0,496,496,496,496,496,496
44a4ddcf-268e-46ad-9fbf-e5c60c29ca98,UFLIA,simplify,831,797 - 0 - 34,839.0,53,184,455.0,828.0,28.0,797,797 - 0 - 0,0.36,19,121,205,428.0,9.0,116,116 - 0 - 0,192.0,23.0,119.0,199.0,247.0,438.0,681,662 - 0 - 19,10,424,3.0,6.0,11.0,60.75,116,103 - 7 - 6,486,0 - 486 - 0,1491,231,999,1355,1675,4466
cafba2b6-d2bf-47cf-8823-b020eccfb235,UFLIA,sledgehammer,1521,1351 - 0 - 170,489.0,18,52,107.0,203.0,30.36,1352,1279 - 72 - 1,86.0,4,16,25,47.0,4.0,1133,1081 - 52 - 0,82.0,7.0,19.0,34.0,86.0,717.0,146,121 - 21 - 4,4,93,757.0,2.0,4.0,56.7,1081,897 - 170 - 14,121,27 - 63 - 31,665,114,216,348,641,21301
cd01c894-d137-4d20-afa5-7109b8ca673e,UFLIA,boogie,877,874 - 0 - 3,1.0,22,137,573.0,1.0,22.0,874,853 - 21 - 0,1.0,6,42,766,1.0,49.0,239,239 - 0 - 0,171.0,7.0,42.0,88.0,269.0,918.0,614,389 - 3 - 222,17,687,7.0,30.0,40.0,60.0,239,0 - 239 - 0,406,3 - 403 - 0,7,7,7,7,8,8
8671a2e1-64b2-405a-b249-615b1208bb77,QF\_LIA,convert,39,39 - 0 - 0,1.0,35,266,1.0,1.0,18.0,39,39 - 0 - 0,4.0,23,585,4,4.0,51.0,1,1 - 0 - 0,157.0,157.0,157.0,157.0,157.0,157.0,38,15 - 0 - 23,19,42,45.0,50.0,53.0,57.0,1,1 - 0 - 0,15,0 - 6 - 9,539,539,539,539,539,539
77ba3605-878f-4fb6-92ac-9fe1cd9bf8fe,QF\_LIA,mathsat,100,81 - 0 - 19,6.0,52,947,4.0,11.0,30.53,93,59 - 34 - 0,6.0,19,208,1,9.0,30.0,0,0 - 0 - 0,0.0,0.0,0.0,0.0,0.0,0.0,59,10 - 0 - 49,3,906,6.0,16.0,31.0,58.0,0,0 - 0 - 0,10,3 - 4 - 3,12539,6097,6097,11520,19999,19999
a8575ae8-a468-42e1-9ed8-6cdceff18d22,QF\_LIA,pb2010,40,22 - 0 - 18,2.0,454,2,3.0,4.0,9.0,22,22 - 0 - 0,354.0,69,224,311,407.0,926.0,22,20 - 2 - 0,256.0,5.0,156.0,232.0,0.31,548.0,0,0 - 0 - 0,0,0,0.0,0.0,0.0,0.0,20,20 - 0 - 0,0,0 - 0 - 0,960,348,650,943,1252,1645
ebb2340b-cd73-4460-80e5-f98ed80ef8c8,QF\_LIA,pidgeons,19,19 - 0 - 0,56.0,24,29,5.0,79.0,118.0,19,19 - 0 - 0,18.0,7,1,18,27.0,33.0,19,19 - 0 - 0,47.0,1.0,2.0,35.0,72.0,108.0,0,0 - 0 - 0,0,0,0.0,0.0,0.0,0.0,19,6 - 0 - 13,0,0 - 0 - 0,1437,275,403,1071,2682,3272
be3b2f7d-f935-41dc-ab2e-7a9a73786a6f,QF\_LIA,20180326-Bromberger,175,100 - 0 - 75,133.0,29,43,64.0,127.0,7.0,100,100 - 0 - 0,58.0,9,28,41,67.0,329.0,80,15 - 65 - 0,33.0,9.0,23.0,29.0,4.0,93.0,20,0 - 20 - 0,122,72,88.0,0.1,154.0,234.0,15,10 - 4 - 1,0,0 - 0 - 0,1495,426,857,1379,1948,2900
8c91f8d7-1854-4b9b-8724-1c56b237e4fc,QF\_LIA,20220307-SMPT,1568,1522 - 0 - 46,759.0,17,24,3.0,55.0,32.0,1546,1520 - 26 - 0,0.38,3,8,1,21.0,38.0,1404,1397 - 7 - 0,45.0,4.0,9.0,13.0,29.0,2.0,116,83 - 6 - 27,6,96,1.0,2.0,6.0,56.0,1398,702 - 691 - 5,101,1 - 84 - 16,170,97,117,121,132,4339
6dc36f40-6647-4a4a-a371-cf74fb2e76c9,QF\_LIA,CAV-2009,85,85 - 0 - 0,217.0,26,37,55.0,107.0,11.0,85,85 - 0 - 0,181.0,7,2,36,67.0,10.0,78,16 - 62 - 0,38.0,7.0,23.0,32.0,53.0,89.0,7,0 - 7 - 0,1,99,0.1,347.0,503.0,6.0,16,12 - 4 - 0,0,0 - 0 - 0,821,110,351,661,1382,1740
ac0c33cf-b116-4422-9438-c92bed515b06,QF\_LIA,convert,39,39 - 0 - 0,1.0,35,264,1.0,1.0,18.0,39,39 - 0 - 0,4.0,26,581,4,3.9,51.43,1,1 - 0 - 0,0.16,0.16,0.16,0.16,0.16,0.16,38,15 - 0 - 23,19,43,45.0,49.0,52.0,57.0,1,1 - 0 - 0,15,0 - 0 - 15,543,543,543,543,543,543
03238f5b-a8ee-4341-89a5-7087d7ffed06,QF\_LIA,cut-lemmas,93,68 - 0 - 25,3.0,24,57,536.0,5.0,30.0,71,68 - 3 - 0,3.0,6,39,558,5.0,19.0,24,4 - 20 - 0,39.0,11.0,24.0,33.0,51.0,118.0,44,0 - 44 - 0,3,77,426.0,2.0,5.0,12.0,4,1 - 3 - 0,0,0 - 0 - 0,3021,3021,3021,3021,3021,3021
24574bba-2833-4f39-9986-a1efa107e89f,QF\_LIA,mathsat,100,81 - 0 - 19,6.0,52,944,4.0,11.19,31.0,93,59 - 34 - 0,6.0,19,193,1,9.0,31.0,0,0 - 0 - 0,0.0,0.0,0.0,0.0,0.0,0.0,59,10 - 0 - 49,3,953,6.0,16.0,30.0,58.0,0,0 - 0 - 0,10,3 - 4 - 3,12478,6205,6205,11471,19758,19758
b9875b1d-548e-4f74-9494-94d8c26495b8,QF\_LIA,pb2010,40,22 - 0 - 18,2.0,466,2,3.0,4.0,10.0,22,22 - 0 - 0,358.0,67,218,315,418.0,921.0,22,20 - 2 - 0,256.0,56.0,163.0,233.0,0.32,0.54,0,0 - 0 - 0,0,0,0.0,0.0,0.0,0.0,20,20 - 0 - 0,0,0 - 0 - 0,969,352,657,950,1262,1677
944f51dd-b998-480c-842e-7bc4bd1698fb,UF,20170428-Barrett,1585,1512 - 0 - 73,0.22,23,66,85.0,109.0,24.0,1513,1491 - 22 - 0,54.0,5,16,2,26.0,8.0,1419,1419 - 0 - 0,37.0,7.0,17.0,23.0,33.0,447.0,72,69 - 0 - 3,5,305,0.6,928.0,3.0,51.0,1419,1284 - 121 - 14,69,24 - 10 - 35,389,125,190,227,329,20323
06182ded-b2ab-4a0f-af71-164a505e066b,UF,grasshopper,376,361 - 0 - 15,516.0,2,39,53.0,118.0,22.0,361,351 - 10 - 0,59.0,7,14,23,45.0,3.0,301,301 - 0 - 0,68.0,8.0,23.0,39.0,83.0,341.0,50,50 - 0 - 0,3,276,503.0,859.0,1.86,57.0,301,18 - 283 - 0,50,0 - 34 - 16,225,102,114,143,302,837
9f407a53-907c-4f3b-bc7a-c6514889d299,UF,sledgehammer,1403,1269 - 0 - 134,378.0,21,65,117.0,207.0,28.0,1274,1206 - 68 - 0,139.0,3,19,28,45.0,59.0,1106,1099 - 7 - 0,86.0,8.0,23.0,42.0,105.0,615.0,100,87 - 9 - 4,6,187,968.0,2.0,5.0,56.0,1099,959 - 117 - 23,87,36 - 22 - 29,684,113,208,355,759,20511
aec71814-8a11-4469-9fdf-325322093468,QF\_UF,20170829-Rodin,20,20 - 0 - 0,25.0,17,19,26.0,29.0,33.0,20,20 - 0 - 0,8.0,6,6,8,9.0,11.0,20,20 - 0 - 0,1.0,7.0,8.0,9.0,1.0,18.0,0,0 - 0 - 0,0,0,0.0,0.0,0.0,0.0,20,16 - 4 - 0,0,0 - 0 - 0,104,89,93,95,114,157
e36c369b-8676-48ff-a2a1-aa1e40d1452e,QF\_UF,2018-Goel-hwbench,229,222 - 0 - 7,1.0,19,26,36.0,136.0,25.0,229,221 - 8 - 0,626.0,4,8,13,44.0,19.0,192,189 - 3 - 0,4.0,6.0,1.0,14.0,51.0,338.0,29,5 - 19 - 5,6,115,174.0,4.0,14.0,34.0,189,167 - 22 - 0,7,2 - 4 - 1,218,5,144,154,237,5959
98c324c1-a578-459d-95cd-4c99760e48d7,QF\_UF,QG-classification,3859,3802 - 0 - 57,2.07,32,438,879.0,3.0,31.0,3851,3718 - 133 - 0,3.0,14,634,1,4.0,46.0,37,37 - 0 - 0,347.0,22.0,206.0,357.0,476.0,626.0,3681,1842 - 258 - 1581,11,69,6.0,16.0,30.0,73.0,37,30 - 0 - 7,1014,6 - 103 - 905,3561,113,1249,2201,2738,45695
d4e9f300-64c6-4367-90c5-efc536658e76,QF\_UF,SEQ,44,34 - 0 - 10,3.0,35,118,639.0,3.0,27.0,39,34 - 5 - 0,6.0,9,46,476,3.0,49.0,10,10 - 0 - 0,1.0,0.14,189.0,0.23,2.0,6.0,24,16 - 0 - 8,1,2,3.0,9.0,30.0,39.0,10,4 - 0 - 6,19,0 - 3 - 16,3495,1865,2364,3982,4141,4153
ae438ed3-57ba-4792-ad58-893b560270ad,QF\_UF,TypeSafe,3,3 - 0 - 0,25.0,21,21,26.0,29.0,29.0,3,3 - 0 - 0,8.0,6,6,8,1.0,1.0,3,3 - 0 - 0,8.0,7.0,7.0,8.0,9.0,9.0,0,0 - 0 - 0,0,0,0.0,0.0,0.0,0.0,3,3 - 0 - 0,0,0 - 0 - 0,96,93,93,97,98,98
0ebfe7bc-2319-4645-977a-de754b5177c8,QF\_UF,eq-diamond,100,100 - 0 - 0,155.0,19,42,72.0,147.0,892.0,100,100 - 0 - 0,282.0,7,3,62,0.17,2.0,66,66 - 0 - 0,275.0,6.0,73.0,226.0,398.0,814.0,34,34 - 0 - 0,5,726,944.0,4.38,8.0,16.0,66,15 - 0 - 51,34,0 - 0 - 34,749,94,216,374,890,3544
